商品链接,详情链接,店铺名称,地址,大图,原标题,高亮关键字标题,付款人数,显示的价格,添加时间
//detail.tmall.com/item.htm?id=16109378213&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=16109378213&ns=1&abbucket=0,宁美国度官方旗舰店,湖北 武汉,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/595397331/O1CN01drcQcY241e6QBd63O_!!0-item_pic.jpg,宁美国度电脑主机i5 9400F/GTX1050Ti升GTX1650高配组装电脑台式机网咖全套整机吃鸡游戏主机办公diy兼容机,宁美国度<span class=H>电脑</span><span class=H>主机</span>i5 9400F/GTX1050Ti升GTX1650高配组装<span class=H>电脑</span>台式机网咖全套整机吃鸡游戏<span class=H>主机</span>办公diy兼容机,2634人收货,2999.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=547640072688&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=547640072688&ns=1&abbucket=0#detail,蓝千羽闪电快充,广东 深圳,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/716522319/O1CN01YI4OPD1T090lNJeur_!!716522319.jpg,二手电脑主机游戏高配吃鸡网吧1070家用I7四核组装台式机电脑全套,二手<span class=H>电脑</span><span class=H>主机</span>游戏高配吃鸡网吧1070家用I7四核组装台式机<span class=H>电脑</span>全套,2581人收货,1150.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=578783748768&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=578783748768&ns=1&abbucket=0#detail,yt6361396,山东 烟台,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/137559567/O1CN01uNrjnY2KXjdZ2w9zE_!!0-item_pic.jpg,i7二手组装吃鸡办公diy电脑台式网吧游戏型水冷主机全套高配家用,i7二手组装吃鸡办公diy<span class=H>电脑</span>台式网吧游戏型水冷<span class=H>主机</span>全套高配家用,2563人收货,798.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=596899809639&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=596899809639&ns=1&abbucket=0#detail,中硕数码科技,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/1677021573/O1CN01lwV1Qd1NUTWW6aJAB_!!1677021573.jpg,27英寸一体机电脑游戏型i7高配独显办公家用吃鸡台式主机整机全套,27英寸一体机<span class=H>电脑</span>游戏型i7高配独显办公家用吃鸡台式<span class=H>主机</span>整机全套,2542人收货,1098.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=520149040205&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=520149040205&ns=1&abbucket=0,ipason攀升官方旗舰店,湖北 武汉,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/1652528654/O1CN01Gh3DVz2Dna5ibTFqR_!!0-item_pic.jpg,攀升 i7 8700/GTX1060升1660ti台式电脑主机全套高配吃鸡游戏主机电竞网吧水冷组装整机,攀升 i7 8700/GTX1060升1660ti台式<span class=H>电脑</span><span class=H>主机</span>全套高配吃鸡游戏<span class=H>主机</span>电竞网吧水冷组装整机,2530人收货,4699.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=575328712948&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=575328712948&ns=1&abbucket=0,鸿东数码专营店,广东 广州,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/1689361121/O1CN01udh9xH1K9SVveSJlt_!!0-item_pic.jpg,22-27寸一体机电脑游戏独显酷睿i3i5i7办公家用台式整机迷你主机全套,22-27寸一体机<span class=H>电脑</span>游戏独显酷睿i3i5i7办公家用台式整机迷你<span class=H>主机</span>全套,2521人收货,1259.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=574697262646&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=574697262646&ns=1&abbucket=0,淘乐宝数码专营店,湖北 武汉,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/1647214050/O1CN01EVayl21fmwapBAY0h_!!0-item_pic.jpg,i5i7吃鸡游戏主机组装台式全套办公设计LOL高配整机多开DIY电脑,i5i7吃鸡游戏<span class=H>主机</span>组装台式全套办公设计LOL高配整机多开DIY<span class=H>电脑</span>,2475人收货,1398.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=17019553913&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=17019553913&ns=1&abbucket=0,京天华盛官方旗舰店,湖北 武汉,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/1097280647/O1CN01i2mUNM1GeMngMpT5C_!!0-item_pic.jpg,京天i5 9400F/GTX1050Ti升1650吃鸡电脑主机高配办公家用电竞主播品牌设计台式机全套游戏机组装机DIY整机,京天i5 9400F/GTX1050Ti升1650吃鸡<span class=H>电脑</span><span class=H>主机</span>高配办公家用电竞主播品牌设计台式机全套游戏机组装机DIY整机,2417人收货,2899.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=586184584792&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=586184584792&ns=1&abbucket=0,炫龙欧诺姆专卖店,广东 深圳,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/4285494278/O1CN013xt12o1hTMuIsSrpC_!!0-item_pic.jpg,i5 8400升9400f/i7级E5八核1660游戏电脑吃鸡LOL台式机组装电脑主机台式高配全套整机,i5 8400升9400f/i7级E5八核1660游戏<span class=H>电脑</span>吃鸡LOL台式机组装<span class=H>电脑</span><span class=H>主机</span>台式高配全套整机,2397人收货,1599.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=570889503820&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=570889503820&ns=1&abbucket=0,凡一国度数码专营店,广东 深圳,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3104969643/O1CN01MMhq9T2L6XnnJv9WO_!!0-item_pic.jpg,i7十核32G内存独显台式机组装电脑主机吃鸡游戏办公高配全套整机,i7十核32G内存独显台式机组装<span class=H>电脑</span><span class=H>主机</span>吃鸡游戏办公高配全套整机,2345人收货,1299.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=562184951999&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=562184951999&ns=1&abbucket=0#detail,sihao1999,广东 深圳,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/27666928/O1CN01G47XWF2134TAqIGSo_!!27666928.jpg,超薄一体机电脑高配酷睿i7曲面独显游戏主机家用办公lol吃鸡电脑,超薄一体机<span class=H>电脑</span>高配酷睿i7曲面独显游戏<span class=H>主机</span>家用办公lol吃鸡<span class=H>电脑</span>,2300人收货,1499.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=532608958447&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=532608958447&ns=1&abbucket=0#detail,天龙电脑00,湖北 武汉,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/408188478/O1CN01WnvmGr2CUyO09EkMU_!!408188478.jpg,二手电脑主机台式机联想i5i7独显DNF搬砖工作室办公收银监控整机,二手<span class=H>电脑</span><span class=H>主机</span>台式机联想i5i7独显DNF搬砖工作室办公收银监控整机,2262人收货,199.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=585668606482&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=585668606482&ns=1&abbucket=0,御风数码专营店,湖北 武汉,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/357311401/O1CN01jyYWqM1MDhQvs20E4_!!0-item_pic.jpg,i5/i7吃鸡游戏组装电脑主机家用办公设计LOL高配整机DIY台式全套3D渲染工作室多开水冷电竞主播网咖兼容整机,i5/i7吃鸡游戏组装<span class=H>电脑</span><span class=H>主机</span>家用办公设计LOL高配整机DIY台式全套3D渲染工作室多开水冷电竞主播网咖兼容整机,2195人收货,1699.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=592609810842&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=592609810842&ns=1&abbucket=0,完美数码专营店,广东 深圳,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3136232683/O1CN01YKp7sU1VgrBWyuvKy_!!0-item_pic.jpg,八核i7独显吃鸡游戏DIY组装电脑主机家用办公LOL台式电脑全套整机,八核i7独显吃鸡游戏DIY组装<span class=H>电脑</span><span class=H>主机</span>家用办公LOL台式<span class=H>电脑</span>全套整机,2148人收货,1399.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=591758355721&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=591758355721&ns=1&abbucket=0#detail,我有宝贝啊,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/23578141/O1CN01Pzlgik2A0ct1olccE_!!23578141.jpg,曲面独显一体机电脑I5I7吃鸡网吧高配游戏型办公家用台式主机全套,曲面独显一体机<span class=H>电脑</span>I5I7吃鸡网吧高配游戏型办公家用台式<span class=H>主机</span>全套,2135人收货,1380.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=588132140789&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=588132140789&ns=1&abbucket=0,燕信娜数码专营店,广东 深圳,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/4036625576/O1CN01N3ddPc1r3r09FxrDv_!!0-item_pic.jpg,i7级八核独显32G台式电脑全套LOL吃鸡游戏组装电脑主机办公I5整机,i7级八核独显32G台式<span class=H>电脑</span>全套LOL吃鸡游戏组装<span class=H>电脑</span><span class=H>主机</span>办公I5整机,2126人收货,1199.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=569538460316&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=569538460316&ns=1&abbucket=0,高拓伟权数码专营店,广东 惠州,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/687499522/O1CN01CycuoQ2KD7sb3Afs3_!!0-item_pic.jpg,i5四核i7独显吃鸡游戏DIY电脑主机组装台式电脑整机送24英寸全套,i5四核i7独显吃鸡游戏DIY<span class=H>电脑</span><span class=H>主机</span>组装台式<span class=H>电脑</span>整机送24英寸全套,2082人收货,1699.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=521666722605&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=521666722605&ns=1&abbucket=0,亚淮数码专营店,湖北 武汉,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/771567656/O1CN01vOh7Sk26QUosLPzAQ_!!0-item_pic.jpg,lol游戏电脑主机i7英雄联盟直播专用组装机高端吃鸡高配家用台式水冷全套电竞网咖dnf游戏型地下城搬砖工作室,lol游戏<span class=H>电脑</span><span class=H>主机</span>i7英雄联盟直播专用组装机高端吃鸡高配家用台式水冷全套电竞网咖dnf游戏型地下城搬砖工作室,2060人收货,1999.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=562725584003&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=562725584003&ns=1&abbucket=0#detail,sdyna彤,广东 深圳,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/159871470/O1CN01lgnsnR1MjIkzVOrJ6_!!159871470.jpg,I7/GTX1060独显吃鸡游戏配置组装台式电脑主机整机全套非二手主机,I7/GTX1060独显吃鸡游戏配置组装台式<span class=H>电脑</span><span class=H>主机</span>整机全套非二手<span class=H>主机</span>,1950人收货,698.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=594542701690&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=594542701690&ns=1&abbucket=0#detail,为你服务3344,广东 深圳,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/1929973815/O1CN01P9vMAK1e3JXCyjRlM_!!1929973815.jpg,i7高配1660吃鸡LOL台式电脑主机游戏家用办公组装电脑DIY全套整机,i7高配1660吃鸡LOL台式<span class=H>电脑</span><span class=H>主机</span>游戏家用办公组装<span class=H>电脑</span>DIY全套整机,1944人收货,1399.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=588743252915&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=588743252915&ns=1&abbucket=0,齐飞互联数码专营店,湖北 武汉,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/2200598680425/O1CN01AZTeVM1F0gsDYDaxa_!!0-item_pic.jpg,酷睿I5/GTX1060高配独显游戏吃鸡lol组装DIY电脑整机主机台式全套DNF搬砖家用办公设计工作室多开送显示器,酷睿I5/GTX1060高配独显游戏吃鸡lol组装DIY<span class=H>电脑</span>整机<span class=H>主机</span>台式全套DNF搬砖家用办公设计工作室多开送显示器,1917人收货,1199.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=584592748507&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=584592748507&ns=1&abbucket=0,万达凯旋数码专营店,广东 深圳,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/1049122653/O1CN01ifk7Jo1VT7J0VSpIN_!!0-item_pic.jpg,酷睿i5台式电脑9400F独显GTX1050TI/1060/RX590吃鸡游戏型送显示器办公电竞DIY高配水冷整机组装电脑主机全套,酷睿i5台式<span class=H>电脑</span>9400F独显GTX1050TI/1060/RX590吃鸡游戏型送显示器办公电竞DIY高配水冷整机组装<span class=H>电脑</span><span class=H>主机</span>全套,978人收货,1899.00,2019-07-18 17:46:38
//item.taobao.com/item.htm?id=591196069260&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=591196069260&ns=1&abbucket=0#detail,协佑电脑,河南 郑州,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/2906532221/O1CN01gAhloe1SHGCu6g9vo_!!2906532221.png,酷睿i7水冷主机高配1080独显8g组装整机直播游戏吃鸡电脑台式全套,酷睿i7水冷<span class=H>主机</span>高配1080独显8g组装整机直播游戏吃鸡<span class=H>电脑</span>台式全套,970人收货,1999.00,2019-07-18 17:46:38
